Company,Product Name,Price,Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$419.99,$3.99 Shipping
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$629.99,$8.99 Shipping
VisionTek,VisionTek Radeon RX 560 4GB GDDR5 1.18GHz SFF Graphics Card,$196.44 - $197.74,Free Shipping
MSI,MSI NVIDIA GeForce GTX 1660 Ti VENTUS XS 6GB GDDR6 HDMI/3DisplayPort PCI-Express Video Card,$298.46 - $299.21,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2070 SUPER DirectX 12 ROG-STRIX-RTX2070S-8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$574.99,Free Shipping
ASUS,ASUS GeForce RTX 2080 Overclocked 8G GDDR6 Dual-Fan Edition VR Ready HDMI DP 1.4 USB Type-C Graphics CardÂ (DUAL-RTX2080-O8G),$629.99,$6.99 Shipping
ASUS,ASUS Dual GeForce RTX 2070 SUPER DUAL-RTX2070S-A8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$524.99,Free Shipping
ASUS,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$629.99,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$119.99,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$1279.99,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,$1099.99,$6.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$399.99,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SGAMING OC-8GD Video Card,$539.99,$6.99 Shipping
XFX,XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6,$199.99,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$603.52,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$339.99,$6.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$239.99,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card| PCIe 3.0| 8GB 256-Bit GDDR5| GV-RX580GAMING-8GD REV2.0 Video Card,$169.99,Free Shipping
EVGA,EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING| 08G-P4-3067-KR| 8GB GDDR6| Dual HDB Fans| Metal Backplate,$430.32,Free Shipping
MSI,MSI Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,$673.60,$14.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR| 8GB GDDR6,$522.28,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,$561.53,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$364.99,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$407.99,Free Shipping
EVGA,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,$319.99,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING| 08G-P4-3173-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$572.55,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$185.00,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTGAMING OC-8GD Video Card,$409.99,Free Shipping
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,$259.99,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),$319.99,Free Shipping
EVGA,EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card| 08G-P4-3062-KR| 8GB GDDR6| Dual Fans,$399.99,$3.99 Shipping
EVGA,EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate,$239.99,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER FTW3 ULTRA GAMING| 08G-P4-3277-KR| 8GB GDDR6| iCX2 Technology| RGB LED| Metal Backplate,$589.99,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,$279.99,$3.99 Shipping
EVGA,EVGA GeForce RTX 2060 SUPER XC ULTRA GAMING| 08G-P4-3163-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$469.99,$3.99 Shipping
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$407.99,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$326.95,Special Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,$159.99,$1.99 Shipping
